card_number,expire,phone,status,balance
5614 0924 4841 2886,11/25,None,inactive,466892694.27
4916 5406 8645 4786,07/26,973-32-58,expired,670716374.01
4916 5741 7084 7270,04/25,973-28-69,active,1022662054.21
4916 9304 8820 9761,09/24,973-26-25,expired,742177533.62
8600 7701 7203 6613,10/24,None,active,459481780.62
8600 0980 0363 1331,01/25,None,inactive,583051343.37
4916 8863 0030 1832,08/28,None,expired,387735717.19
4916 2985 5471 2336,12/27,+99899451797,inactive,1008907382.89
8600 1230 2606 4995,06/24,973-77-64,active,777497532.48
4916 9803 1834 1979,12/26,None,inactive,693958305.55
5614 7129 9794 6923,03/28,+998 99 973 39 38,active,1079192234.10
4916 2812 9613 9950,03/25,+99899643549,inactive,132284028.61
8600 6418 1435 5945,03/24,973-13-85,expired,463106956.83
8600 3601 9335 2957,08/26,973-81-82,inactive,401905668.75
5614 7938 6440 4717,08/25,973-67-29,inactive,345132674.72
5614 1507 2051 3910,08/24,973-61-37,expired,262469087.13
4916 3023 1772 3430,07/28,+998 99 973 64 29,expired,116761074.22
8600 3933 9780 8284,09/25,+998 99 973 81 43,expired,618682851.25
8600 6696 9723 0372,03/28,+998 99 973 16 45,inactive,366533603.52
5614 8346 6358 8449,03/27,973-82-30,expired,12905476.86
8600 0649 6382 3995,11/27,973-35-87,expired,1002525357.62
5614 3377 5189 1675,07/27,None,active,1123367542.30
8600 4857 5990 9278,11/24,973-63-90,inactive,1008375829.71
4916 1152 5717 3626,12/26,None,active,936107628.67
8600 5822 9587 2372,04/24,973-35-35,expired,153951850.18
5614 2863 0033 8565,02/28,+998 99 973 18 79,expired,931949201.15
5614 4255 6965 3500,08/27,None,active,1015778893.15
4916 8475 3468 0219,05/24,973-54-88,expired,142381406.00
4916 8401 2471 7475,09/28,None,inactive,342114067.62
4916 8188 4960 5902,02/25,+998 99 973 42 22,inactive,442735595.87
4916 0003 2777 9695,05/25,+99899937225,active,127757850.47
8600 0636 2915 6386,09/25,None,active,428780796.99
4916 5084 1021 7944,01/27,+99899327218,expired,1136194150.02
4916 3349 1051 1979,04/28,973-33-74,active,1118439690.21
4916 6209 0311 2860,12/25,973-81-67,inactive,867190891.04
8600 4215 4428 1764,04/28,+99899341518,inactive,712695688.18
4916 6688 4777 5276,12/24,973-73-47,inactive,321863109.55
5614 4913 4939 3007,12/28,+99899503652,active,552357473.27
8600 4218 4063 0938,09/27,973-63-37,expired,1160673422.31
4916 9320 5716 8055,10/25,973-38-75,active,260394346.44
4916 0756 4028 2452,02/27,973-36-21,active,99831037.74
8600 0719 5206 9175,03/24,None,expired,40537624.06
8600 0271 3822 0645,08/25,None,expired,147267569.47
8600 9903 9378 8541,02/26,973-44-62,active,916326542.84
8600 7095 8591 6805,07/26,+998 99 973 83 21,active,10530869.88
4916 8655 8212 2074,07/28,973-21-17,inactive,628561770.23
4916 4626 5440 1311,07/25,+998 99 973 44 74,inactive,362391677.39
4916 0663 3249 8332,02/26,973-97-71,expired,453545295.31
5614 4820 9494 2866,02/28,None,active,1096162118.92
5614 0615 3061 9179,05/24,+998 99 973 30 39,inactive,241105938.64
5614 9010 5222 7374,07/24,+998 99 973 22 74,active,402828984.04
8600 0435 2106 6438,07/24,+99899644729,inactive,873920947.74
8600 2113 8813 6483,07/25,None,inactive,455984588.48
8600 4021 9067 7737,11/27,+998 99 973 91 20,active,1144975575.89
4916 4574 0292 1917,09/27,+998 99 973 95 25,inactive,632004591.35
5614 9169 9283 2919,01/27,None,active,289379045.71
4916 6820 5284 7779,02/25,None,active,1114647950.51
4916 4734 1881 5829,02/26,None,active,750879326.97
5614 9495 5118 0487,02/24,None,inactive,306405198.42
5614 8944 7682 3524,09/28,+998 99 973 25 37,expired,682435089.48
4916 8714 6576 4107,09/27,+998 99 973 80 32,expired,528849617.98
5614 7979 7139 0727,03/28,+998 99 973 22 22,inactive,145941969.13
8600 0045 8256 3119,06/25,973-97-99,expired,706097025.16
8600 1015 5014 8632,05/26,None,active,36017289.25
4916 7344 2297 7594,11/25,+998 99 973 84 93,active,1108312315.31
5614 3038 9519 6413,07/26,None,inactive,386913692.30
4916 9329 5601 9284,02/28,None,active,976633046.96
8600 4762 3548 3921,02/27,+998 99 973 84 52,active,470440312.23
5614 4332 7574 4225,03/26,+99899786271,inactive,983447465.19
4916 3876 3140 4445,01/24,+998 99 973 82 79,expired,98084780.70
5614 5443 2681 2637,11/27,973-30-19,active,500014869.51
4916 8100 9340 8059,06/28,+998 99 973 26 40,inactive,1124516474.15
5614 2218 0573 4083,09/26,+99899184445,inactive,800034935.84
4916 6814 4143 4448,07/24,+998 99 973 47 44,inactive,140700106.01
5614 2446 9137 2784,06/26,973-55-60,inactive,172463114.04
5614 1847 4539 1176,07/27,+99899746510,active,77578485.18
5614 2246 0885 4991,11/26,+998 99 973 80 20,active,1042993731.33
4916 7506 1941 1064,11/24,973-93-93,active,453776360.61
4916 0447 8282 3465,10/28,+99899951989,inactive,775196543.86
4916 9852 7652 6370,04/25,+99899597124,inactive,1158677473.55
8600 5555 8830 0236,10/24,+99899282811,inactive,355821277.05
5614 1265 6860 1983,10/25,+998 99 973 19 14,inactive,1194667464.42
8600 6630 2795 6483,08/27,973-37-19,expired,498520391.27
4916 0513 8464 3282,04/27,+998 99 973 71 87,inactive,680469667.41
4916 5659 5761 9833,11/27,None,active,1193996279.20
4916 7731 4875 1842,11/25,973-27-40,expired,552827172.80
5614 7641 8143 5379,07/25,+998 99 973 25 25,active,552159302.30
4916 3335 8943 8290,04/24,+99899306699,expired,907535976.28
5614 9445 4033 2174,08/27,None,active,852338314.67
4916 9116 3065 2769,02/28,+99899769283,expired,162278300.13
8600 2233 5529 6018,06/27,None,active,870926017.76
8600 6268 2227 7090,07/26,+99899261895,expired,172050923.57
4916 1619 8485 3973,07/24,+998 99 973 44 92,inactive,500450815.82
4916 7142 2408 8857,12/26,+998 99 973 63 47,inactive,324688140.03
4916 1810 1092 8953,11/27,+998 99 973 70 23,inactive,578861898.98
5614 7044 8381 0887,07/26,973-11-98,active,1137627686.29
4916 0607 1854 4181,10/27,None,active,781083887.89
8600 1457 6807 8941,11/27,+99899222153,inactive,200269951.77
4916 3071 0526 1303,06/25,None,active,132356327.73
8600 6014 0615 9345,08/27,973-61-99,active,77207830.18
8600 1517 0406 9937,10/24,+998 99 973 31 61,inactive,1022265412.70
8600 7093 0601 3601,12/26,973-23-39,inactive,967509092.23
8600 5437 9866 1274,01/25,None,inactive,575250500.30
4916 6641 5947 3832,01/27,+998 99 973 49 47,expired,341612974.46
5614 1989 6267 6697,07/27,None,inactive,298154993.12
4916 5727 8691 8774,07/27,+99899377148,inactive,1027224530.89
8600 9243 7093 6302,04/24,+99899664942,inactive,353814487.97
4916 8560 2320 3375,08/24,None,inactive,102939737.37
4916 7419 2399 4010,08/27,+998 99 973 45 71,inactive,1094910187.67
5614 2131 9473 4238,06/24,+998 99 973 25 81,active,909607181.58
8600 9483 9230 1427,03/27,None,active,1086193013.08
5614 4512 0151 7101,09/26,None,active,820778041.79
5614 9930 5199 4575,03/28,None,inactive,77886377.29
5614 9870 8431 0015,02/25,973-37-28,inactive,1029850324.63
5614 5727 4816 0988,04/28,973-53-76,inactive,664155046.20
8600 9307 0424 0923,02/24,+99899957521,inactive,1057830170.49
8600 5972 0910 3730,09/26,None,expired,823366663.80
8600 2650 7912 3796,04/25,None,inactive,284164059.01
5614 8235 7397 1365,07/24,+99899416819,inactive,747493235.73
4916 6271 2512 1009,06/27,+99899986786,inactive,128058161.28
5614 8644 2374 7738,08/25,973-98-82,active,1103132243.95
8600 2659 4563 8902,01/27,973-34-77,active,39834396.15
4916 6313 4827 2961,07/28,None,inactive,861136711.78
4916 5609 0201 2689,04/26,973-89-69,expired,724716499.01
8600 3340 5128 2911,01/28,None,active,278282405.96
4916 4579 7156 5426,09/27,973-25-36,active,71183804.00
5614 4799 1900 8295,08/24,+99899931485,expired,588862179.29
4916 3336 5027 4780,11/24,+99899668734,active,223704299.20
4916 1349 3724 4053,02/26,+99899386765,inactive,1122648397.94
4916 1229 2050 6695,03/25,+99899975840,active,1020163105.37
8600 4314 4055 1301,02/24,+99899816986,inactive,416856859.12
8600 3680 1764 7692,09/28,973-19-95,active,1027184286.60
8600 6393 8828 2859,05/27,+998 99 973 52 38,inactive,1134357418.86
8600 1644 1669 8794,01/27,+998 99 973 59 37,expired,318115179.43
8600 9047 0859 0898,04/24,+998 99 973 88 16,active,339282164.01
5614 1614 7643 3112,04/28,None,inactive,1042139332.30
4916 2662 8058 8270,08/27,+99899676519,inactive,24026435.52
5614 8979 0847 8684,11/28,973-28-34,expired,456994882.40
4916 4075 4787 3150,08/24,973-93-96,inactive,345046717.38
4916 9015 0340 7441,12/24,+998 99 973 71 84,active,733497799.34
5614 6727 7126 5835,12/28,+99899558211,inactive,184605009.50
8600 6734 0333 5012,09/27,973-68-64,active,749620539.19
8600 6708 0501 0102,08/24,973-14-97,active,667547153.52
4916 8969 1923 7384,05/26,973-35-79,inactive,794987647.12
8600 0990 5153 6497,05/28,+998 99 973 25 48,active,548162082.28
5614 6696 0660 5052,02/28,973-58-19,expired,1186385459.82
4916 8082 1244 3528,06/27,+99899994598,active,142809861.40
8600 3752 9577 9261,10/27,None,expired,1094394860.89
5614 6602 0953 6216,10/24,None,expired,739556853.61
5614 3153 2057 3131,05/25,+99899108559,expired,260593221.35
4916 4712 0647 5483,07/27,973-41-64,expired,783958032.71
4916 8979 2886 4978,10/28,+99899946085,expired,756008428.55
5614 8107 6145 7638,04/25,None,expired,1139966246.22
4916 7893 0092 3094,09/27,None,inactive,135168379.76
5614 3101 6930 3641,09/28,973-58-26,expired,281670874.23
4916 5899 8626 1821,11/27,+99899687840,active,384931391.44
8600 7079 8696 7336,09/27,+99899317716,expired,394192120.68
4916 4572 9761 7661,10/24,+99899638579,active,535585217.75
5614 8457 1835 5923,12/26,+99899993968,expired,559616786.89
4916 9699 4845 2967,06/25,None,inactive,1185125487.91
5614 0061 9305 1459,09/27,None,active,540236701.84
4916 9702 9474 2316,09/24,973-22-34,active,1157771946.65
4916 0277 7223 4512,08/24,+99899708424,inactive,9076232.94
8600 7381 4944 1562,11/26,+99899405527,expired,904642087.59
4916 6988 1580 9419,12/27,None,inactive,992916942.84
5614 0567 2069 0931,11/26,973-93-52,inactive,884406609.18
5614 6151 3839 1299,01/27,None,active,978069511.48
4916 7148 7596 5981,12/25,None,active,938074088.42
5614 1906 4710 4518,01/26,973-15-12,expired,1024552065.50
8600 2727 2311 3199,03/26,+998 99 973 19 25,active,717153935.18
4916 3589 2307 1861,06/25,973-97-66,active,89708512.20
4916 7732 3605 7821,03/28,+998 99 973 15 55,inactive,1035930529.33
5614 2803 2434 6514,11/26,+99899518850,inactive,284110185.00
5614 9777 1668 1990,05/24,+998 99 973 28 75,inactive,54695882.26
4916 7487 0533 7698,04/27,+99899905264,inactive,232675699.38
4916 2247 0197 8034,06/25,+998 99 973 81 47,inactive,446539643.41
4916 5549 2930 4161,06/25,+99899271651,active,751724651.18
5614 6547 5353 3521,08/28,None,inactive,823220900.29
8600 9388 5864 5573,04/28,973-68-15,inactive,751874422.29
4916 6784 3367 0203,09/27,+99899801792,active,1175914363.33
4916 1584 3212 3769,01/27,None,expired,202472373.66
5614 2675 0611 5544,05/27,None,active,233797462.10
4916 6993 6976 8175,02/27,973-39-11,inactive,813097854.06
5614 3523 1773 2941,01/24,+99899129029,expired,591972127.39
4916 0172 8625 0864,05/25,+998 99 973 65 41,expired,422247947.82
5614 0602 1424 0203,06/26,+998 99 973 93 95,active,598263716.03
4916 1537 7618 4279,01/25,973-89-81,expired,571038794.99
8600 6384 8987 8102,06/28,+998 99 973 42 64,inactive,436564474.35
8600 5541 6979 0139,09/26,None,expired,1123941502.41
8600 0251 8970 3584,06/25,+998 99 973 85 12,active,9821167.35
8600 6099 5689 1803,06/24,973-48-98,inactive,458045555.59
5614 1364 3108 8888,08/27,+998 99 973 32 60,inactive,1144802352.93
4916 6759 4413 5973,01/28,None,inactive,479082653.45
5614 1347 7499 9852,09/24,+99899544660,inactive,410905347.54
4916 8158 4301 0915,02/24,+99899121650,inactive,458274274.21
8600 7671 5024 0993,02/28,+998 99 973 32 35,expired,729553245.21
8600 8797 7474 4639,08/27,+998 99 973 35 92,inactive,186280550.62
5614 0610 2824 8952,05/25,973-94-29,expired,558207288.32
5614 0360 8261 3267,12/28,None,active,783980931.78
8600 5457 4773 5562,03/26,None,active,274894431.82
5614 0165 3386 1079,03/25,None,inactive,1189982926.79
5614 8569 3971 5027,07/25,973-75-13,expired,203845904.25
8600 4055 8332 7422,06/26,+998 99 973 97 19,inactive,395373035.87
5614 7056 8402 7197,10/26,None,inactive,188324504.12
8600 2008 3683 6588,03/24,+998 99 973 17 42,active,575307188.38
8600 6542 7242 3030,05/24,973-60-93,inactive,530144255.69
4916 3598 9633 7669,10/27,None,active,306928977.61
4916 8521 2615 0993,07/25,+998 99 973 63 74,expired,686191542.68
8600 0331 3241 7492,07/27,973-67-42,expired,422213654.33
4916 8285 0386 9249,12/26,+99899312999,expired,837220780.81
5614 0275 3677 2031,10/28,973-30-38,expired,529390778.77
8600 1218 9950 3511,09/27,+99899162033,active,1178426939.48
4916 7044 5992 5519,03/27,973-91-60,expired,531776701.97
5614 1225 7367 4925,08/24,+998 99 973 92 77,active,133066561.51
5614 9148 5794 3616,09/28,973-61-35,expired,943076647.86
5614 6674 0843 2766,10/25,+99899923049,expired,1174044600.00
5614 0930 9985 1372,12/27,973-39-48,active,536190401.74
8600 3195 4627 1173,11/25,+99899892941,inactive,591328774.83
8600 6925 9026 0767,08/24,+99899663644,active,126468291.94
4916 4006 7078 6489,10/27,973-52-50,inactive,576088266.08
4916 7320 6509 8389,09/27,+998 99 973 75 48,inactive,1126917079.76
4916 0259 6941 4194,10/26,None,active,51871269.12
8600 8207 0953 2376,09/27,+99899957043,inactive,1151437894.16
5614 7643 2275 1908,03/27,+998 99 973 64 59,expired,1129212247.99
5614 5821 9073 7993,10/26,973-95-26,inactive,518388328.42
8600 9164 8688 9094,02/25,None,active,308920541.84
4916 3398 1956 5596,10/26,+998 99 973 96 69,expired,832385189.65
5614 7273 1242 8738,09/24,+99899723689,active,31433002.04
8600 3774 6543 6292,07/25,973-76-38,active,22609308.46
5614 0340 3342 0510,11/27,None,inactive,988710830.79
8600 1379 0823 9715,02/24,None,expired,334977685.32
8600 9208 4170 4097,08/27,+99899893627,active,364850733.47
4916 7207 7398 9601,05/27,973-14-35,active,1070256906.15
5614 3629 5564 7533,09/26,973-82-31,inactive,507804162.89
8600 8922 2006 0484,04/28,None,inactive,1017983430.60
4916 1393 2812 0499,01/26,+998 99 973 86 46,inactive,277502434.09
4916 8244 9097 3417,08/25,973-36-90,inactive,1066267252.67
4916 4677 5565 2514,11/26,973-47-82,inactive,127451051.58
5614 7021 9315 2905,10/24,+998 99 973 88 12,inactive,522018729.15
8600 3729 9346 6861,07/28,None,expired,589800851.64
4916 0375 6794 0686,01/25,+99899128773,inactive,76492587.28
4916 1638 7822 9856,03/25,None,inactive,197243854.65
4916 9004 9588 3858,04/26,+99899877817,inactive,169620631.93
4916 0744 8737 5941,04/28,973-27-83,inactive,493191682.96
8600 7023 1427 7250,11/26,None,active,451199429.22
4916 5174 5742 0790,11/25,+99899656035,inactive,1081003094.94
8600 8356 4997 6566,12/24,+998 99 973 41 13,inactive,582446192.84
8600 4378 4988 7451,09/25,973-87-68,inactive,414793674.25
5614 6242 6841 1836,11/27,None,expired,741624875.80
5614 2780 9238 7462,04/26,973-75-23,expired,201690374.16
5614 1783 4742 5820,03/28,None,active,81380129.30
4916 1061 4300 6062,02/26,None,expired,725009254.71
5614 5368 7778 9123,04/27,None,active,99521268.45
5614 9771 7986 7854,10/27,973-21-63,expired,731424093.49
4916 6188 4451 2685,05/26,973-28-15,inactive,1154195423.26
5614 3449 7593 9355,04/27,+998 99 973 48 66,inactive,871838275.03
4916 9137 4424 4814,11/26,973-45-86,expired,1186238268.33
5614 9113 2103 0962,04/24,+998 99 973 57 89,inactive,626675674.18
8600 2421 8544 3392,12/26,+998 99 973 18 22,expired,568141671.10
5614 6484 0295 5168,12/28,973-22-29,inactive,338648294.42
4916 6102 2792 7382,03/24,+998 99 973 78 90,inactive,579351275.80
4916 6326 6635 7632,02/26,+99899453959,expired,982972967.74
8600 0809 7659 4977,10/28,None,active,553287597.72
4916 3362 3134 8908,03/25,+99899111157,expired,724372185.95
4916 5847 1711 7079,07/28,973-68-88,expired,1026754466.44
4916 3004 1075 3619,09/26,+99899216815,active,550703225.76
8600 2046 9237 3397,05/24,+998 99 973 67 98,expired,964157235.92
5614 1911 3105 1645,05/24,973-42-54,active,228693967.76
8600 2075 5187 4934,11/26,973-40-87,inactive,1088998562.72
8600 3442 8618 3974,08/25,973-34-81,active,1047470405.33
4916 7461 6059 7962,10/24,973-68-77,active,1007786233.68
4916 2987 7471 4062,01/24,+99899578711,expired,986944483.96
4916 1305 5150 2826,01/27,+99899999814,expired,554384570.23
8600 5746 0535 0553,05/28,+99899799775,expired,385673663.79
5614 6853 4205 6863,08/27,None,inactive,31422523.48
4916 6550 6890 6268,09/28,None,active,1178489561.15
4916 7327 4754 1640,12/26,973-95-85,inactive,1003816303.57
4916 7807 1019 1588,01/24,None,active,272706933.52
8600 9810 4632 3141,01/24,None,expired,1089663236.89
8600 1295 6966 9355,08/26,None,inactive,855309667.91
5614 1663 3145 0169,08/25,+99899361315,expired,1074276275.42
4916 9306 9137 6076,02/26,+99899688339,active,161662326.46
5614 3192 8436 3398,07/26,None,inactive,327692890.33
5614 8683 9958 7770,01/28,+99899527749,active,106995449.05
5614 8237 2376 5550,08/25,973-35-59,inactive,396988338.50
5614 2620 7112 3460,11/25,+99899297211,inactive,1193882205.94
5614 1982 5858 5271,09/24,973-45-97,inactive,815337789.51
5614 1244 3348 8272,03/28,+99899626212,expired,143673336.40
5614 3370 1004 5105,05/27,+998 99 973 41 53,expired,473507625.29
8600 2578 8246 8443,06/24,None,expired,254105890.41
4916 1761 7579 2350,05/27,None,inactive,844734890.81
5614 8117 2799 3328,02/26,973-91-74,expired,728116268.53
8600 4979 8300 7969,02/26,973-50-48,inactive,673019659.38
4916 6303 2029 6378,06/26,None,inactive,814751834.76
8600 9469 9159 0317,04/27,None,inactive,961038625.55
8600 4917 5756 4396,07/25,+99899798036,expired,1048057138.50
8600 1131 6084 9772,06/27,+99899461244,active,265728584.57
5614 7947 0668 5463,12/27,973-77-83,expired,913319067.34
5614 4013 2015 7396,09/24,+99899534130,expired,180402177.04
5614 7865 4506 0973,12/25,+998 99 973 79 98,expired,1092989208.07
4916 6047 3282 3731,07/28,+998 99 973 11 90,inactive,991382694.73
8600 0344 6531 3191,08/27,+99899777787,active,57268265.75
5614 5092 6162 2200,01/27,+998 99 973 45 55,inactive,522835025.23
5614 3638 4431 2321,08/25,973-37-15,expired,338776955.65
5614 3250 5765 3535,07/27,None,expired,333840374.73
8600 6004 5726 1760,10/25,+998 99 973 23 37,active,1016722091.54
4916 9384 4324 5127,07/24,973-28-32,inactive,385826493.76
4916 9540 4994 5895,06/25,+99899402825,active,706937089.66
5614 7070 3390 8093,04/26,+998 99 973 42 35,expired,813197176.59
4916 1131 5348 8628,10/26,+998 99 973 86 83,active,444428839.11
5614 7026 1553 3369,03/27,+99899309610,inactive,919252147.21
5614 0147 1936 9967,04/25,973-28-57,expired,154655862.55
5614 9260 7485 3758,05/25,+998 99 973 51 71,inactive,62803989.78
4916 6497 7539 4918,08/24,+99899737894,active,959133833.68
8600 9313 0933 9243,08/28,973-96-50,inactive,194008915.50
5614 9508 4035 8348,06/26,+99899143776,inactive,267542007.36
8600 5794 3339 1422,07/28,+998 99 973 81 57,inactive,550669779.83
4916 2860 6523 4767,05/26,None,active,575604723.32
8600 9082 3589 3147,06/26,+998 99 973 56 81,active,466998090.52
5614 6802 2044 0990,05/24,None,active,898664097.83
5614 8201 4268 8546,12/24,None,inactive,596208823.65
8600 1793 1639 0540,09/25,None,expired,767954834.39
5614 4885 5513 1436,09/26,None,expired,517118996.24
8600 0345 4678 0889,09/26,None,expired,848145763.19
4916 4262 7147 1361,10/24,None,expired,249260369.28
5614 2085 1030 3528,12/26,+99899633752,active,1078828943.80
4916 3774 6238 8908,06/24,+998 99 973 14 25,active,840165712.82
5614 0200 9200 2059,08/24,None,active,867039960.20
5614 6937 2663 3893,09/28,None,active,743864575.73
5614 7901 4703 7637,05/27,973-80-27,inactive,964895908.18
8600 2071 1953 0044,03/27,+99899449272,active,1181816347.27
5614 2273 5910 1652,09/27,None,expired,633511385.46
5614 7135 3869 0822,04/26,+998 99 973 90 42,expired,92459057.86
4916 2731 3802 4672,02/24,+998 99 973 41 86,inactive,425616244.38
4916 7985 3423 2032,06/28,+99899737097,inactive,551415224.75
4916 6682 4089 5747,10/27,973-23-16,expired,69499512.89
4916 1802 0588 9509,01/26,+99899601686,active,1024947435.25
8600 1823 0224 5348,12/24,973-74-10,active,720786784.97
4916 4588 7851 3915,08/24,+99899513464,expired,499973774.93
5614 3740 5413 5385,11/27,None,inactive,192729817.83
5614 7131 8562 8893,11/24,None,inactive,1187704421.70
8600 4765 7832 9921,06/27,973-63-24,active,740692265.70
8600 7631 6125 4669,07/28,+99899829855,active,31003564.51
8600 7020 9790 6414,11/28,+998 99 973 25 62,active,142365148.68
4916 4605 3026 6080,04/28,973-22-76,expired,961170903.58
4916 9023 2653 1508,02/24,973-78-47,inactive,449037990.00
4916 7099 1617 6895,08/25,973-32-19,active,878718231.35
5614 3506 3756 6205,02/26,+998 99 973 16 18,inactive,995777322.23
4916 1601 9560 1767,09/24,None,expired,990224306.90
4916 1647 3935 4495,05/25,+998 99 973 51 51,inactive,1084613717.14
4916 8727 3439 1789,10/28,973-97-83,expired,70213447.48
4916 6002 4924 7539,08/24,+998 99 973 52 19,inactive,301077703.45
5614 8401 5409 7691,09/24,+99899851044,expired,179060260.37
5614 7554 4478 4884,04/27,+99899599050,expired,503471672.78
5614 9277 4558 9409,12/28,+998 99 973 45 87,inactive,586713509.58
4916 0503 5243 1639,09/27,None,expired,559000725.44
8600 1642 8115 9138,01/26,+99899986349,active,150634829.26
8600 4429 4219 5554,11/26,None,inactive,124534566.84
5614 1009 3587 8186,03/27,+998 99 973 79 83,inactive,280790164.46
5614 4171 2373 3654,09/25,+998 99 973 40 79,inactive,211163993.79
8600 6616 6543 3047,09/27,973-60-90,inactive,246807283.46
